    INT     ,    INT     ,        FLOAT         ,         FLOAT          ,       FLOAT        ,     FLOAT     ,      FLOAT      ,       FLOAT        ,     FLOAT      ,    FLOAT     ,   INT    , BOOL  ,     FLOAT      ,    FLOAT     ,      FLOAT       ,    FLOAT     ,       BOOL        ,      INT      ,      INT      ,        INT         ,        INT         ,     FLOAT     ,      FLOAT       ,     FLOAT      ,     FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,      FLOAT      ,      BOOL      ,      BOOL      ,   BOOL   
     -      ,     -      ,        kms^-1        ,         kms^-1         ,         -          ,    kms^-1     ,        -        ,         -          ,       -        ,      -       ,    -     , State ,      Msol      ,     Msol     ,       Msol       ,     Msol     ,       Event       ,       -       ,     State     ,         -          ,         -          ,     Msol      ,       Msol       ,      Myr       ,       -       ,      -       ,     Rsol     ,     Rsol     ,     kms^-1      ,     State      ,     State      ,  Event   
     ID     ,    SEED    ,Drawn_Kick_Velocity_SN,Applied_Kick_Velocity_SN,Fallback_Fraction_SN,Orb_Velocity<SN,Kick_Velocity(uK),True_Anomaly(psi)_SN,SN_Kick_Theta_SN,SN_Kick_Phi_SN,SN_Type_SN,Unbound,Mass_Total@CO_SN,   Mass_CP    ,Mass_CO_Core@CO_SN,   Mass_SN    ,Experienced_RLOF_SN,Stellar_Type_SN,Supernova_State,Stellar_Type_Prev_SN,Stellar_Type_Prev_CP,Mass_Core@CO_SN,Mass_He_Core@CO_SN,      Time      ,Eccentricity<SN, Eccentricity ,Separation<SN ,  Separation  ,Systemic_Velocity,Hydrogen_Rich_SN,Hydrogen_Poor_SN,Runaway_CP
           3,  4079225127,          3.504548e+02,            3.435543e+02,        1.969004e-02,   1.585762e+04,     2.166493e+01,        1.894497e-01,    8.153847e-01,  6.263106e+00,         1,1,    1.135742e+01,  8.364569e+00,      2.353457e+00,  1.277584e+00,0,             13,              1,                   5,                   1,   3.491318e+00,      3.491318e+00,  2.24534608e+01,   0.000000e+00,  1.021748e+03,  1.494839e+04, -1.464324e+01,     0.000000e+00,1,0,1
       42492,  4079225130,          2.955049e+02,            1.983916e+02,        3.286350e-01,   2.492748e+04,     7.958752e+00,        6.025130e+00,    7.236021e-01,  3.707406e+00,         1,1,    7.283368e+00,  2.393202e+01,      5.284159e+00,  2.713936e+00,1,             13,              1,                   8,                   4,   5.284159e+00,      7.283368e+00,  8.31903254e+00,   0.000000e+00,  5.637833e+01,  9.574848e+03, -1.554895e+02,     0.000000e+00,0,1,1
       76478,  4079225134,          3.775034e+02,            1.465935e+02,        6.116764e-01,   1.734375e+05,     8.452236e-01,        2.676906e+00,    5.284708e-01,  5.457059e-01,         1,1,    1.055978e+01,  4.717343e+01,      7.838964e+00,  6.302540e+00,1,             14,              1,                   8,                   1,   7.838964e+00,      1.055978e+01,  6.32737444e+00,   0.000000e+00,  2.155395e+00,  3.658135e+02, -3.053443e+02,     0.000000e+00,0,1,1
       78343,  4079225135,          1.112074e+02,            6.139835e+00,        9.447893e-01,   3.763119e+04,     1.631582e-01,        4.522625e+00,   -1.715233e-01,  2.411887e+00,         1,0,    3.335679e+01,  1.621648e+01,      1.057560e+01,  2.843319e+01,0,             14,              1,                   5,                   1,   1.391521e+01,      1.391521e+01,  6.14936719e+00,   0.000000e+00,  1.740795e-01,  6.672241e+03,  5.924261e+03,     3.055149e+00,1,0,0
       78343,  4079225135,          4.376128e+02,            3.927204e+02,        1.025848e-01,   3.538603e+04,     1.109818e+01,        4.152063e+00,    6.063987e-01,  5.574262e+00,         1,1,    1.621648e+01,  2.843319e+01,      3.920655e+00,  2.398679e+00,0,             13,              2,                   5,                  14,   5.514081e+00,      5.514081e+00,  1.31181340e+01,   1.740795e-01,  1.704517e+02,  5.924261e+03, -3.437352e+01,     0.000000e+00,1,0,0
      204102,  4079225140,          4.006597e+02,            3.253506e+02,        1.879628e-01,   4.306813e+04,     7.554324e+00,        5.381031e+00,    7.826544e-01,  1.281735e+00,         1,1,    1.830263e+01,  1.120024e+01,      4.632592e+00,  4.046275e+00,0,             14,              1,                   5,                   1,   6.440591e+00,      6.440591e+00,  1.11958247e+01,   0.000000e+00,  8.844413e+01,  3.031603e+03, -2.607302e+01,     0.000000e+00,1,0,1
      231135,  4079225145,          2.786071e+02,            1.379715e+02,        5.047810e-01,   3.266276e+04,     4.224124e+00,        2.033754e+00,   -2.619801e-01,  2.652814e+00,         1,1,    2.403799e+01,  8.915201e+00,      7.157872e+00,  1.154450e+01,0,             14,              1,                   5,                   1,   9.138351e+00,      9.138351e+00,  8.22750993e+00,   0.000000e+00,  1.469437e+01,  5.887241e+03, -3.515659e+02,     0.000000e+00,1,0,1
      412623,  4079225151,          3.882789e+02,            3.238058e+02,        1.660485e-01,   5.546785e+04,     5.837720e+00,        4.202337e+00,    1.770352e-01,  1.498436e+00,         1,1,    2.404467e+00,  4.990983e+00,      1.508903e+00,  1.277584e+00,1,             13,              1,                   8,                   1,   1.508903e+00,      2.404467e+00,  2.57952946e+01,   0.000000e+00,  1.211386e+01,  4.581439e+02, -1.134994e+01,     0.000000e+00,0,1,1
