    INT     ,    INT     ,    FLOAT     ,    FLOAT     ,     FLOAT     ,      FLOAT      ,              FLOAT              ,     FLOAT     ,    FLOAT     ,        FLOAT         ,              FLOAT              ,     FLOAT     ,    FLOAT     ,        FLOAT         ,    FLOAT     ,    FLOAT     ,      FLOAT       ,      FLOAT       ,     FLOAT     ,     FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,      FLOAT       ,      FLOAT       , BOOL  , BOOL ,     BOOL      ,        INT        ,     INT      ,        INT        ,     INT      , INT  
     -      ,     -      ,     Msol     ,     Msol     ,      AU       ,        -        ,                -                ,       -       ,      -       ,          -           ,                -                ,       -       ,      -       ,          -           ,    yr^-1     ,    yr^-1     ,      kms^-1      ,      kms^-1      ,    kms^-1     ,    kms^-1     ,      -       ,      -       ,      -       ,        -         ,        -         , State ,Event ,     Event     ,         -         ,      -       ,         -         ,      -       ,  -   
     ID     ,    SEED    , Mass@ZAMS_1  , Mass@ZAMS_2  ,Separation@ZAMS,Eccentricity@ZAMS,SN_Kick_Magnitude_Random_Number_1,SN_Kick_Theta_1,SN_Kick_Phi_1 ,SN_Kick_Mean_Anomaly_1,SN_Kick_Magnitude_Random_Number_2,SN_Kick_Theta_2,SN_Kick_Phi_2 ,SN_Kick_Mean_Anomaly_2, Omega@ZAMS_1 , Omega@ZAMS_2 ,Sigma_Kick_CCSN_NS,Sigma_Kick_CCSN_BH,Sigma_Kick_ECSN,Sigma_Kick_USSN,LBV_Multiplier,WR_Multiplier ,   CE_Alpha   ,Metallicity@ZAMS_1,Metallicity@ZAMS_2,Unbound,Merger,Merger_At_Birth,Stellar_Type@ZAMS_1,Stellar_Type_1,Stellar_Type@ZAMS_2,Stellar_Type_2,Error 
           3,  4079225127,  1.135742e+01,  8.364569e+00,   6.951704e+01,     0.000000e+00,                     4.203175e-01,   8.153847e-01,  6.263106e+00,          1.894497e-01,                     5.190823e-03,   1.026833e+00,  2.804275e+00,          6.507751e-01,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,0,0,                  1,            13,                  1,             1,    46
        7388,  4079225128,  6.585357e+00,  1.710185e+00,   1.908836e+01,     0.000000e+00,                     5.335062e-01,  -2.986041e-01,  5.322845e+00,          4.640128e+00,                     2.590492e-01,  -1.430849e-02,  2.952479e+00,          3.316494e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,1,0,                  1,            12,                  1,            15,    46
       15053,  4079225129,  7.361998e+00,  3.168435e+00,   8.411121e-02,     0.000000e+00,                     9.976780e-01,  -8.703609e-01,  4.664229e+00,          2.815725e+00,                     6.818601e-01,  -7.752616e-01,  2.901863e+00,          6.175382e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,1,0,                  1,            15,                  1,             1,    46
       42492,  4079225130,  2.392448e+01,  2.212689e+01,   1.188004e+01,     0.000000e+00,                     2.938018e-01,   7.236021e-01,  3.707406e+00,          6.025130e+00,                     7.534977e-01,  -5.586720e-01,  9.559246e-01,          3.806624e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,0,0,                  1,            13,                  1,             4,    46
       51453,  4079225131,  1.522723e+01,  7.318956e+00,   1.108284e-01,     0.000000e+00,                     8.054292e-01,   1.425444e-01,  5.551218e+00,          4.889894e+00,                     3.940500e-01,  -6.533178e-01,  2.249860e+00,          3.765023e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,1,0,                  1,            15,                  1,             1,    46
       63504,  4079225132,  5.171974e+00,  3.183123e+00,   1.611192e+01,     0.000000e+00,                     5.051505e-01,  -1.701201e-01,  2.318800e+00,          4.025217e+00,                     1.136175e-01,   3.887732e-01,  2.642259e+00,          2.653603e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,1,0,                  1,            11,                  1,            15,    46
       71725,  4079225133,  6.348181e+00,  2.167491e+00,   1.078564e-01,     0.000000e+00,                     5.760904e-01,  -3.521613e-01,  2.793845e+00,          2.971150e+00,                     8.284391e-01,  -3.042025e-01,  2.539165e+00,          5.154866e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,0,0,0,                  1,            11,                  1,            10,    46
       76478,  4079225134,  3.235297e+01,  2.538024e+01,   6.260968e-01,     0.000000e+00,                     4.836646e-01,   5.284708e-01,  5.457059e-01,          2.676906e+00,                     6.831208e-01,  -9.543092e-01,  6.226974e+00,          3.642831e+00,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  1.500000e+00,  1.000000e+00,  1.000000e+00,      1.420000e-02,      1.420000e-02,1,0,0,                  1,            14,                  1,             1,    46
