    INT     ,    INT     ,     FLOAT      ,    FLOAT     ,    FLOAT     ,       FLOAT       ,       FLOAT       ,     FLOAT     ,     FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,       INT       ,     INT      ,    FLOAT     ,     FLOAT      ,    FLOAT     ,      FLOAT      ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,       FLOAT        ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,       INT       ,     INT      ,    FLOAT     ,     FLOAT      ,    FLOAT     ,      FLOAT      ,    FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,       FLOAT        ,    FLOAT     ,   INT    , BOOL ,    BOOL     ,     INT      ,     BOOL     , BOOL ,     FLOAT     ,    FLOAT     ,      FLOAT       ,     FLOAT      ,     FLOAT      , BOOL ,     FLOAT     ,    FLOAT     ,      FLOAT       ,     FLOAT      ,     FLOAT      ,      FLOAT      ,      FLOAT       ,     FLOAT      ,     FLOAT      ,     FLOAT      ,     FLOAT      ,      BOOL       ,      BOOL       
     -      ,     -      ,      Myr       ,      -       ,      -       ,       ergs        ,       ergs        ,       -       ,       -       ,      AU      ,      AU      ,     Rsol     ,     Rsol     ,     Rsol     ,     Rsol     ,     Msol     ,     Msol     ,     Msol     ,     Rsol     ,     Rsol     ,        -        ,      -       ,      -       ,       -        ,      -       ,        -        ,      -       ,     ergs     ,     ergs     ,     ergs     ,        ergs        ,     ergs     ,     Msol     ,     Msol     ,     Msol     ,     Rsol     ,     Rsol     ,        -        ,      -       ,      -       ,       -        ,      -       ,        -        ,      -       ,     ergs     ,     ergs     ,     ergs     ,        ergs        ,     ergs     ,    -     ,Event ,    State    ,    Count     ,    Event     ,State ,     Lsol      ,     Tsol     ,       Myr        ,      Myr       ,      Myr       ,State ,     Lsol      ,     Tsol     ,       Myr        ,      Myr       ,      Myr       ,        -        ,        -         ,      Myr       ,      Myr       ,      Myr       ,      Myr       ,      Event      ,      Event      
     ID     ,    SEED    ,      Time      , Lambda@CE_1  , Lambda@CE_2  ,Binding_Energy<CE_1,Binding_Energy<CE_2,Eccentricity<CE,Eccentricity>CE,Separation<CE ,Separation>CE ,RocheLobe_1<CE,RocheLobe_1>CE,RocheLobe_2<CE,RocheLobe_2>CE,  Mass_1<CE   ,  Mass_Env_1  , Core_Mass_1  , Radius_1<CE  , Radius_1>CE  ,Stellar_Type_1<CE,Stellar_Type_1,Lambda_Fixed_1,Lambda_Nanjing_1, Loveridge_1  ,Loveridge_Winds_1,  Kruckow_1   ,  BE_Fixed_1  , BE_Nanjing_1 ,BE_Loveridge_1,BE_Loveridge_Winds_1, BE_Kruckow_1 ,  Mass_2<CE   ,  Mass_Env_2  , Core_Mass_2  , Radius_2<CE  , Radius_2>CE  ,Stellar_Type_2<CE,Stellar_Type_2,Lambda_Fixed_2,Lambda_Nanjing_2, Loveridge_2  ,Loveridge_Winds_2,  Kruckow_2   ,  BE_Fixed_2  , BE_Nanjing_2 ,BE_Loveridge_2,BE_Loveridge_Winds_2, BE_Kruckow_2 ,MT_History,Merger,Optimistic_CE,CE_Event_Count,Double_Core_CE,RLOF_1,Luminosity<CE_1,  Teff<CE_1   ,Tau_Dynamical<CE_1,Tau_Thermal<CE_1,Tau_Nuclear<CE_1,RLOF_2,Luminosity<CE_2,  Teff<CE_2   ,Tau_Dynamical<CE_2,Tau_Thermal<CE_2,Tau_Nuclear<CE_2,Zeta_Star_Compare,Zeta_RLOF_Analytic,    Tau_Sync    ,    Tau_Circ    ,Tau_Radial<CE_1 ,Tau_Radial<CE_2 ,Immediate_RLOF>CE,Simultaneous_RLOF
        5592,  1082808996,  5.03825019e+02,  1.000000e+00,  8.115564e-01,       0.000000e+00,       2.427581e+48,   0.000000e+00,   0.000000e+00,  2.566986e+01,  2.873473e-01,  7.851530e+00,  1.370297e-01,  1.172296e+01,  8.283732e-02,  1.104283e+00,  0.000000e+00,  1.104283e+00,  6.859436e-03,  6.859436e-03,               11,            11,  1.000000e-01,    1.000000e+00,  0.000000e+00,     0.000000e+00,  5.142817e+02,  0.000000e+00,  0.000000e+00,  0.000000e+00,        0.000000e+00,  0.000000e+00,  2.663460e+00,  2.298730e+00,  3.647298e-01,  1.178306e+01,  1.665592e-02,                3,            10,  1.000000e-01,    8.115564e-01,  7.505943e-01,     7.505943e-01,  3.585540e+00,  1.970119e+49,  2.427581e+48,  2.624745e+48,        2.624745e+48,  5.494622e+47,         4,0,0,             1,0,0,   5.261076e-04,  1.828624e+00,    6.68402136e-12,  7.68144252e-02,  4.35994936e+00,1,   8.333071e+01,  8.801814e-01,    1.12535919e-09,  2.21615422e-01,  3.54286021e+02,    -1.161580e-01,      2.997510e+00,  0.00000000e+00,  0.00000000e+00, -1.00000000e+00, -1.00000000e+00,0,0
       10177,  1082808997,  8.08097772e+01,  1.627960e+01,  1.000000e+00,       2.036162e+45,       1.091930e+49,   0.000000e+00,   0.000000e+00,  6.763435e+03,  0.000000e+00,  3.158336e+03,          -nan,  2.007675e+03,          -nan,  5.943358e+00,  4.646980e+00,  1.296378e+00,  3.159097e+03,  4.306085e-03,                6,            11,  1.000000e-01,    1.627960e+01,  1.000000e-20,     1.000000e-20,  8.623521e-02,  3.314791e+47,  2.036162e+45,  3.314791e+66,        3.314791e+66,  3.843895e+47,  2.194914e+00,  2.194914e+00,  0.000000e+00,  1.672849e+00,  1.672849e+00,                1,             1,  1.000000e-01,    1.000000e+00,  2.040333e+00,     2.040333e+00,  1.317515e+01,  1.091930e+50,  1.091930e+49,  5.351726e+48,        5.351726e+48,  8.287803e+47,         3,1,0,             1,0,1,   4.304756e+05,  4.557279e-01,    1.69650990e-07,  8.55179339e-05,  2.41681755e+00,0,   2.686189e+01,  1.760175e+00,    0.00000000e+00,  0.00000000e+00,  0.00000000e+00,     6.087452e-03,      2.875531e+00,  0.00000000e+00,  0.00000000e+00, -1.00000000e+00,  0.00000000e+00,1,0
       17722,  1082808998,  1.56268936e+02,  1.000000e+00,  5.298006e+01,       0.000000e+00,       3.091305e+45,   0.000000e+00,   0.000000e+00,  8.288086e+02,  1.312647e+02,  2.132665e+02,  5.057068e+01,  4.259227e+02,  4.891144e+01,  1.039279e+00,  0.000000e+00,  1.039279e+00,  7.613096e-03,  7.613096e-03,               11,            11,  1.000000e-01,    1.000000e+00,  0.000000e+00,     0.000000e+00,  4.797546e+02,  0.000000e+00,  0.000000e+00,  0.000000e+00,        0.000000e+00,  0.000000e+00,  4.799532e+00,  3.833431e+00,  9.661009e-01,  4.259404e+02,  8.438803e-03,                6,            11,  1.000000e-01,    5.298006e+01,  1.366186e+00,     1.366186e+00,  3.279650e-01,  1.637775e+48,  3.091305e+45,  1.198794e+47,        1.198794e+47,  4.993750e+47,         4,0,0,             1,0,0,   8.847116e-03,  3.514955e+00,    3.25180698e-14,  0.00000000e+00,  3.87604089e+03,1,   2.353040e+04,  6.001129e-01,    1.55200714e-07,  8.33284884e-05,  2.59753151e+00,    -1.954685e-02,      6.582847e+00,  0.00000000e+00,  0.00000000e+00, -1.00000000e+00, -1.00000000e+00,0,0
       37335,  1082808999,  8.10771315e+01,  1.627960e+01,  1.000000e+00,       4.373949e+45,       1.630205e+49,   0.000000e+00,   0.000000e+00,  3.417742e+03,  0.000000e+00,  1.496864e+03,          -nan,  1.102685e+03,          -nan,  5.922825e+00,  4.746347e+00,  1.176478e+00,  1.496881e+03,  5.978974e-03,                6,            11,  1.000000e-01,    1.627960e+01,  1.000000e-20,     1.000000e-20,  1.418845e-01,  7.120615e+47,  4.373949e+45,  7.120615e+66,        7.120615e+66,  5.018598e+47,  3.029901e+00,  3.029901e+00,  0.000000e+00,  2.135163e+00,  2.135163e+00,                1,             1,  1.000000e-01,    1.000000e+00,  1.863936e+00,     1.863936e+00,  1.119711e+01,  1.630205e+50,  1.630205e+49,  8.746033e+48,        8.746033e+48,  1.455916e+48,         3,1,0,             1,0,1,   1.518196e+05,  5.101974e-01,    1.69406100e-07,  8.54859957e-05,  2.41963257e+00,0,   9.996820e+01,  2.163963e+00,    0.00000000e+00,  0.00000000e+00,  0.00000000e+00,    -2.356826e-02,      1.451291e+00,  0.00000000e+00,  0.00000000e+00, -1.00000000e+00,  0.00000000e+00,1,0
       45092,  1082809000,  2.03565739e+01,  2.719091e-01,  1.000000e+00,       3.277479e+48,       5.238295e+49,   0.000000e+00,   0.000000e+00,  1.006105e+03,  0.000000e+00,  4.156138e+02,          -nan,  3.478067e+02,          -nan,  1.129040e+01,  8.700097e+00,  2.590305e+00,  4.179134e+02,  3.982772e-01,                3,             7,  1.000000e-01,    2.719091e-01,  9.947792e-02,     9.947792e-02,  3.321512e-01,  8.911763e+48,  3.277479e+48,  8.958534e+48,        8.958534e+48,  2.683044e+48,  7.643602e+00,  7.643602e+00,  0.000000e+00,  4.228854e+00,  4.228854e+00,                1,             1,  1.000000e-01,    1.000000e+00,  1.154345e+00,     1.154345e+00,  7.099780e+00,  5.238295e+50,  5.238295e+49,  4.537895e+49,        4.537895e+49,  7.378110e+48,         3,1,0,             1,0,1,   3.353121e+04,  6.619408e-01,    5.35375507e-08,  8.34716354e-04,  7.50663581e+00,0,   3.245609e+03,  3.670394e+00,    0.00000000e+00,  0.00000000e+00,  0.00000000e+00,     2.348030e-02,      5.851918e-01,  0.00000000e+00,  0.00000000e+00, -1.00000000e+00,  0.00000000e+00,1,0
       56082,  1082809002,  4.51590925e+00,  1.000000e+00,  1.000000e+00,       1.576027e+50,       1.915423e+50,   0.000000e+00,   0.000000e+00,  1.696412e+01,  0.000000e+00,  6.277562e+00,           nan,  6.579672e+00,           nan,  1.668532e+01,  1.668532e+01,  0.000000e+00,  6.697641e+00,  6.697641e+00,                1,             1,  1.000000e-01,    1.000000e+00, 1.806938e+181,    1.806938e+181,  5.225310e+00,  1.576027e+51,  1.576027e+50, 8.722088e-132,       8.722088e-132,  3.016141e+49,  1.849323e+01,  1.849323e+01,  0.000000e+00,  6.769820e+00,  6.769820e+00,                1,             1,  1.000000e-01,    1.000000e+00, 4.064501e+236,    4.064501e+236,  5.188103e+00,  1.915423e+51,  1.915423e+50, 4.712566e-187,       4.712566e-187,  3.691953e+49,         7,1,0,             1,0,1,   3.542105e+04,  5.300959e+00,    0.00000000e+00,  0.00000000e+00,  0.00000000e+00,1,   4.392465e+04,  5.564018e+00,    0.00000000e+00,  0.00000000e+00,  0.00000000e+00,     0.000000e+00,      1.235977e+00,  0.00000000e+00,  0.00000000e+00,  0.00000000e+00,  0.00000000e+00,1,1
      135875,  1082809003,  1.16194217e+02,  5.000000e-02,  1.000000e+00,       1.344451e+49,       9.781872e+48,   0.000000e+00,   0.000000e+00,  2.358254e+02,  0.000000e+00,  1.080895e+02,          -nan,  7.178472e+01,          -nan,  5.044220e+00,  3.803285e+00,  1.240935e+00,  1.082067e+02,  8.093833e-01,                5,             8,  1.000000e-01,    5.000000e-02,  4.380413e-01,     4.380413e-01,  8.176307e-01,  6.722257e+48,  1.344451e+49,  1.534617e+48,        1.534617e+48,  8.221630e+47,  2.052631e+00,  2.052631e+00,  0.000000e+00,  1.633113e+00,  1.633113e+00,                1,             1,  1.000000e-01,    1.000000e+00,  1.869324e+00,     1.869324e+00,  1.338800e+01,  9.781872e+49,  9.781872e+48,  5.232840e+48,        5.232840e+48,  7.306446e+47,         3,1,0,             1,0,1,   3.408881e+03,  7.345576e-01,    1.71739866e-08,  2.89422363e-03,  2.13362155e+01,0,   2.070221e+01,  1.669152e+00,    0.00000000e+00,  0.00000000e+00,  0.00000000e+00,     4.932757e-02,      2.400953e+00,  0.00000000e+00,  0.00000000e+00, -1.00000000e+00,  0.00000000e+00,1,0
      142256,  1082809004,  3.71770943e+01,  1.000000e+00,  1.000000e+00,       3.595180e+49,       1.084330e+49,   0.000000e+00,   0.000000e+00,  1.120914e+01,  0.000000e+00,  5.442684e+00,           nan,  3.148451e+00,           nan,  7.183881e+00,  7.183881e+00,  0.000000e+00,  5.442696e+00,  5.442696e+00,                1,             1,  1.000000e-01,    1.000000e+00,  9.040132e-01,     9.040132e-01,  6.000451e+00,  3.595180e+50,  3.595180e+49,  3.976911e+49,        3.976911e+49,  5.991517e+48,  2.150880e+00,  2.150880e+00,  0.000000e+00,  1.617661e+00,  1.617661e+00,                1,             1,  1.000000e-01,    1.000000e+00,  2.147487e+00,     2.147487e+00,  1.347312e+01,  1.084330e+50,  1.084330e+49,  5.049296e+48,        5.049296e+48,  8.048093e+47,         7,1,0,             1,0,1,   3.611090e+03,  3.322787e+00,    0.00000000e+00,  0.00000000e+00,  0.00000000e+00,0,   2.416711e+01,  1.743261e+00,    0.00000000e+00,  0.00000000e+00,  0.00000000e+00,     0.000000e+00,      4.183532e+00,  0.00000000e+00,  0.00000000e+00,  0.00000000e+00,  0.00000000e+00,1,0
      215115,  1082809005,  3.13560621e+02,  1.000000e+00,  4.330541e-01,       0.000000e+00,       5.937007e+47,   0.000000e+00,   0.000000e+00,  2.784872e+02,  1.985548e+00,  7.211557e+01,  7.456156e-01,  1.425558e+02,  7.591332e-01,  7.855074e-01,  0.000000e+00,  7.855074e-01,  1.047863e-02,  1.047863e-02,               11,            11,  1.000000e-01,    1.000000e+00,  0.000000e+00,     0.000000e+00,  3.877248e+02,  0.000000e+00,  0.000000e+00,  0.000000e+00,        0.000000e+00,  0.000000e+00,  3.544609e+00,  2.727598e+00,  8.170110e-01,  1.425790e+02,  5.892853e-01,                5,             8,  1.000000e-01,    4.330541e-01,  8.811954e-01,     8.811954e-01,  6.802829e-01,  2.571045e+48,  5.937007e+47,  2.917678e+47,        2.917678e+47,  3.779376e+47,         4,0,0,             1,0,0,   1.169033e-03,  1.806361e+00,    4.57175758e-12,  2.78796708e-01,  1.91017517e+01,1,   4.278818e+03,  6.773344e-01,    6.57496440e-09,  1.13799105e-02,  5.48330296e+01,     2.513320e-02,      6.378789e+00,  0.00000000e+00,  0.00000000e+00, -1.00000000e+00, -1.00000000e+00,0,0
      236625,  1082809007,  9.89215299e+00,  1.000000e+00,  1.315473e-01,       0.000000e+00,       2.124052e+49,   4.530354e-01,   0.000000e+00,  1.538108e+03,  1.058067e+01,  5.241870e+02,  4.757738e+00,  6.433787e+02,  3.302227e+00,  1.218137e+01,  0.000000e+00,  1.218137e+01,  1.437401e-05,  1.437401e-05,               14,            14,  1.000000e-01,    1.000000e+00,  1.000000e-20,     1.000000e-20,  3.140566e+04,  0.000000e+00,  0.000000e+00,  0.000000e+00,        0.000000e+00,  0.000000e+00,  1.908183e+01,  1.361716e+01,  5.464672e+00,  3.525945e+02,  6.636482e-01,                4,             7,  1.000000e-01,    1.315473e-01,  6.466533e-02,     6.466533e-02,  3.720000e-01,  2.794134e+49,  2.124052e+49,  4.320915e+49,        4.320915e+49,  7.511113e+48,         4,0,0,             1,0,0,   1.219666e-02,  8.765390e+01,    5.31758961e-18,  0.00000000e+00,  1.21813670e+15,1,   1.258067e+05,  1.002970e+00,    2.89599834e-08,  3.47992345e-04,  1.55835737e+00,     1.143837e-01,      7.344371e-01,  8.47906019e+03,  0.00000000e+00, -1.00000000e+00, -1.00000000e+00,0,0
      242962,  1082809008,  2.31390059e+01,  1.000000e+00,  1.000000e+00,       3.750026e+49,       6.421511e+49,   0.000000e+00,   0.000000e+00,  1.195512e+01,  0.000000e+00,  4.175479e+00,           nan,  4.893601e+00,           nan,  6.456206e+00,  6.456206e+00,  0.000000e+00,  4.214412e+00,  4.214412e+00,                1,             1,  1.000000e-01,    1.000000e+00,  1.077825e+00,     1.077825e+00,  7.115991e+00,  3.750026e+50,  3.750026e+49,  3.479252e+49,        3.479252e+49,  5.269858e+48,  9.139115e+00,  9.139115e+00,  0.000000e+00,  4.931597e+00,  4.931597e+00,                1,             1,  1.000000e-01,    1.000000e+00,  1.075587e+00,     1.075587e+00,  6.408184e+00,  6.421511e+50,  6.421511e+49,  5.970241e+49,        5.970241e+49,  1.002080e+49,         7,1,0,             1,0,1,   2.046829e+03,  3.276438e+00,    0.00000000e+00,  0.00000000e+00,  0.00000000e+00,1,   6.235426e+03,  4.001499e+00,    0.00000000e+00,  0.00000000e+00,  0.00000000e+00,     0.000000e+00,      1.425968e+00,  0.00000000e+00,  0.00000000e+00,  0.00000000e+00,  0.00000000e+00,1,1
      604437,  1082809009,  9.55598359e+01,  1.627960e+01,  1.000000e+00,       3.071312e+45,       9.608840e+48,   0.000000e+00,   0.000000e+00,  3.898560e+03,  0.000000e+00,  1.824145e+03,          -nan,  1.154105e+03,          -nan,  5.513937e+00,  4.363000e+00,  1.150937e+00,  1.824297e+03,  6.297422e-03,                6,            11,  1.000000e-01,    1.627960e+01,  1.000000e-20,     1.000000e-20,  1.243549e-01,  4.999974e+47,  3.071312e+45,  4.999974e+66,        4.999974e+66,  4.020730e+47,  2.015119e+00,  2.015119e+00,  0.000000e+00,  1.602312e+00,  1.602312e+00,                1,             1,  1.000000e-01,    1.000000e+00,  1.884049e+00,     1.884049e+00,  1.355903e+01,  9.608840e+49,  9.608840e+48,  5.100101e+48,        5.100101e+48,  7.086672e+47,         3,1,0,             1,0,1,   1.936761e+05,  4.911580e-01,    1.64343112e-07,  8.48705670e-05,  2.47980221e+00,0,   1.898909e+01,  1.649121e+00,    0.00000000e+00,  0.00000000e+00,  0.00000000e+00,    -8.247557e-03,      2.930047e+00,  0.00000000e+00,  0.00000000e+00, -1.00000000e+00,  0.00000000e+00,1,0
      619811,  1082809011,  1.37618513e+01,  3.960400e-01,  1.000000e+00,       1.282655e+49,       3.045727e+49,   0.000000e+00,   0.000000e+00,  2.445992e+02,  0.000000e+00,  1.183649e+02,          -nan,  6.904476e+01,          -nan,  1.463987e+01,  1.084830e+01,  3.791568e+00,  1.185404e+02,  5.237859e-01,                4,             7,  1.000000e-01,    3.960400e-01,  1.587427e-01,     1.587427e-01,  7.693943e-01,  5.079829e+49,  1.282655e+49,  3.200038e+49,        3.200038e+49,  6.602373e+48,  4.465622e+00,  4.465622e+00,  0.000000e+00,  2.482501e+00,  2.482501e+00,                1,             1,  1.000000e-01,    1.000000e+00,  1.962189e+00,     1.962189e+00,  1.012668e+01,  3.045727e+50,  3.045727e+49,  1.552209e+49,        1.552209e+49,  3.007627e+48,         3,1,0,             1,0,1,   6.782413e+04,  1.482220e+00,    6.91927063e-09,  1.10190314e-03,  2.19301597e+00,0,   3.879704e+02,  2.816793e+00,    0.00000000e+00,  0.00000000e+00,  0.00000000e+00,     6.987422e-02,      3.978274e+00,  6.16884848e+03,  4.16188917e+06, -1.00000000e+00,  0.00000000e+00,1,0
      628153,  1082809013,  2.66800675e+00,  1.000000e+00,  1.000000e+00,       1.281093e+50,       1.766507e+50,   0.000000e+00,   0.000000e+00,  1.303145e+01,  0.000000e+00,  4.735638e+00,           nan,  5.142785e+00,           nan,  1.302222e+01,  1.302222e+01,  0.000000e+00,  5.018866e+00,  5.018866e+00,                1,             1,  1.000000e-01,    1.000000e+00,  1.000000e-20,     1.000000e-20,  6.333682e+00,  1.281093e+51,  1.281093e+50,  1.281093e+70,        1.281093e+70,  2.022667e+49,  1.559881e+01,  1.559881e+01,  0.000000e+00,  5.222566e+00,  5.222566e+00,                1,             1,  1.000000e-01,    1.000000e+00,  1.000000e-20,     1.000000e-20,  6.167901e+00,  1.766507e+51,  1.766507e+50,  1.766507e+70,        1.766507e+70,  2.864033e+49,         7,1,0,             1,0,1,   1.448008e+04,  4.896547e+00,    0.00000000e+00,  0.00000000e+00,  0.00000000e+00,1,   2.251768e+04,  5.360298e+00,    0.00000000e+00,  0.00000000e+00,  0.00000000e+00,     0.000000e+00,      1.797509e+00,  0.00000000e+00,  0.00000000e+00,  0.00000000e+00,  0.00000000e+00,1,1
      667096,  1082809014,  4.97327400e+01,  2.075422e+00,  1.000000e+00,       2.088012e+47,       1.898310e+49,   0.000000e+00,   0.000000e+00,  7.735468e+02,  0.000000e+00,  3.481713e+02,          -nan,  2.411241e+02,          -nan,  7.396449e+00,  5.381157e+00,  2.015292e+00,  3.482377e+02,  1.860760e+01,                5,             8,  1.000000e-01,    2.075422e+00,  5.198602e-01,     5.198602e-01,  3.750963e-01,  4.333508e+48,  2.088012e+47,  8.335910e+47,        8.335910e+47,  1.155305e+48,  3.301978e+00,  3.301978e+00,  0.000000e+00,  2.177699e+00,  2.177699e+00,                1,             1,  1.000000e-01,    1.000000e+00,  1.989179e+00,     1.989179e+00,  1.105083e+01,  1.898310e+50,  1.898310e+49,  9.543180e+48,        9.543180e+48,  1.717799e+48,         3,1,0,             1,0,1,   2.207762e+04,  6.532060e-01,    4.95845347e-08,  6.41002769e-04,  7.69345820e+00,0,   1.341423e+02,  2.306176e+00,    0.00000000e+00,  0.00000000e+00,  0.00000000e+00,     9.156451e-02,      1.987485e+00,  0.00000000e+00,  0.00000000e+00, -1.00000000e+00,  0.00000000e+00,1,0
     1086157,  1082809017,  5.04704591e+01,  1.000000e+00,  7.557430e-01,       2.471452e+49,       5.702797e+48,   0.000000e+00,   0.000000e+00,  1.772095e+02,  0.000000e+00,  3.786167e+01,          -nan,  1.008598e+02,          -nan,  1.373666e+00,  1.373666e+00,  0.000000e+00,  2.894852e-01,  2.894852e-01,                7,             7,  1.000000e-01,    1.000000e+00,  3.808096e+01,     3.808096e+01,  4.242701e+01,  2.471452e+50,  2.471452e+49,  6.489993e+47,        6.489993e+47,  5.825185e+47,  1.226937e+01,  9.391590e+00,  2.877777e+00,  1.013714e+02,  4.267664e-01,                2,             7,  1.000000e-01,    7.557430e-01,  1.921846e-01,     1.921846e-01,  8.539837e-01,  4.309849e+49,  5.702797e+48,  2.242557e+49,        2.242557e+49,  5.046759e+48,         4,1,1,             1,0,0,   8.872434e+02,  1.014373e+01,    3.62885635e-10,  3.77699027e-02,  1.27054598e+01,1,   2.259445e+04,  1.217706e+00,    4.68734396e-10,  1.36321966e-02,  3.79781997e+00,     6.500000e+00,      1.512739e+01,  0.00000000e+00,  0.00000000e+00, -1.00000000e+00, -1.00000000e+00,1,0
