    INT     ,    INT     ,    FLOAT     ,     FLOAT      ,    FLOAT     ,     INT      ,    FLOAT     ,     INT      ,     FLOAT      ,     FLOAT      ,   INT   ,   INT   ,       BOOL       ,    BOOL     ,    BOOL     
     -      ,     -      ,      AU      ,       -        ,     Msol     ,      -       ,     Msol     ,      -       ,      Myr       ,      Myr       ,    -    ,    -    ,      State       ,    Event    ,    Event    
     ID     ,    SEED    ,Separation@DCO,Eccentricity@DCO,    Mass_1    ,Stellar_Type_1,    Mass_2    ,Stellar_Type_2,Coalescence_Time,      Time      ,MT_Case_1,MT_Case_2,Merges_Hubble_Time,Recycled_NS_1,Recycled_NS_2
     1169802,   350561839,  2.057548e+00,    4.600858e-02,  1.435587e+01,            14,  1.556947e+01,            14,  8.59151457e+08,  5.73048764e+00,        2,        2,0,0,0
     2093160,   350561863,  2.228066e-02,    2.796114e-01,  5.124156e+00,            14,  1.012162e+01,            14,  7.49680215e+01,  8.33548963e+00,        2,        2,1,0,0
     7368343,   350562034,  1.181297e-01,    2.284108e-01,  9.506475e+00,            14,  1.312338e+00,            13,  3.83604693e+05,  1.55369432e+01,        2,        2,0,0,0
     9440919,   350562076,  5.427113e+00,    5.534500e-01,  1.407605e+01,            14,  2.864765e+00,            13,  1.11741522e+11,  8.74108411e+00,        2,        2,0,0,0
    14403471,   350562238,  1.157150e+00,    3.343586e-02,  1.463084e+01,            14,  1.719206e+01,            14,  7.20625446e+07,  5.67757378e+00,        2,        2,0,0,0
    28698705,   350562644,  4.937397e-01,    4.882545e-02,  1.381510e+01,            14,  1.879249e+01,            14,  2.24865450e+06,  5.76151858e+00,        2,        2,0,0,0
    29958238,   350562675,  1.695405e-01,    8.909025e-02,  1.374363e+01,            14,  1.996934e+01,            14,  2.80270130e+04,  6.02096703e+00,        2,        2,0,0,0
    32930962,   350562809,  4.506490e-01,    6.315083e-02,  1.122900e+01,            14,  2.059266e+01,            14,  1.78490329e+06,  5.85211425e+00,        2,        2,0,0,0
